,tweets
0,Iphone XS 😩
1,SMART GADGETS ELECTRONICS PVT LTD  #USDCASH SALE SALE SALE HURRY WHILE STOCK LAST FREE DELIVERY HURRY HURRY 📱077453… https://t.co/mDYnNkEm5z
2,@s_sprimuss I've used the Iphone Xs for two weeks - I'm going to have to disagree here.  Google's image processing… https://t.co/B6INSIqf7v
3,Apple iPhone XS and XS MAX Review https://t.co/jEqS07MyjZ #engadget #technology https://t.co/RseKYHoPBx
4,eBay: Apple iPhone XS Max - 512GB - Space Grey (Unlocked) A2101 (GSM) https://t.co/VPZ53m8vBy https://t.co/0pd9fuubGU
5,Google Pixel 3 and Pixel 3 XL are here to take on the iPhone XS and Galaxy S9 https://t.co/kFiBwodQAg https://t.co/nRWmpYKvNg
6,IPhone X;Iphone XS; IPhone XR; IPhone 6s; IPhone 6;Iphone Max Price : 750 Negotiable  Contact :0736668853 What's up… https://t.co/y7cNf43o6y
7,iDrop News is giving away a free iPhone XS Max in February! Enter to win now. https://t.co/gVtiOGUhVJ
8,The iPhone XR Is Depressing... https://t.co/gk3orKcRif #iphone_xr #iphone https://t.co/Tne2dV5CcF
9,The iPhone XR Is Depressing... https://t.co/gk3orKcRif #iphone_xr #iphone https://t.co/uSyI88T037
10,Caviar decks the iPhone XS Max in diamonds; carbon; titanium and gold https://t.co/i3W0MFGlsV… https://t.co/75qWlaU5In
11,1 (of 5) Pencil: smaller; works w/iPhone XS &amp; Max; connects à la Crayon; and charges via the new smart connector as well as lightening.
12,Check out what I just added to my closet on Poshmark: NEW! Supreme iPhone X iPhone XS iPhone xs max case.… https://t.co/3uGjzPnjkb
13,@limitedmage Google will launch its budget device in 2019... And its price will definitely be lower than the appare… https://t.co/2kDV4UD9IK
14,Apple announces iPhone XS; iPhone XS Max; iPhone XR; coming September 21 https://t.co/xLp28bvqEv
15,@OliviaAnta @Pablosego92 https://t.co/NptordZih1  Google WIN
16,@vladsavov Does it have lancome-auto-filter like the iPhone Xs Max? The one discovered by @UnboxTherapy 😂
17,@andrewmartonik any chance everyone forgot to tell us that we can now use the eSIM and nano-sim simultaneously for… https://t.co/lX3DWK4JL9
18,I'm Switching To The iPhone XS Max... https://t.co/3C7OZX9Jmk #iphone_xs_max #iphone_xs https://t.co/O8p4YnatIk
19,How the Google Pixel 3 stacks up against the iPhone XS and Galaxy S9 https://t.co/oDPEbsFiWV
20,I'm Switching To The iPhone XS Max... https://t.co/3C7OZX9Jmk #iphone_xs_max #iphone_xs https://t.co/AC4YjozvoM
21,iPhone Xs MAX Durability Test – How weak is the big iPhone? https://t.co/MAKpYxWHpy
22,iPhone XS; XS Max; XR - Did Apple Do Enough? https://t.co/dj1pCLo83d #iphone #iphone_xs https://t.co/h8VXV0JxKj
23,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/wks4Yp11iK
24,@Joshhana Just go for the IPhone upgrade program and get the Xs
25,Zero down to apply at Open House tmrw 12-7pm!  Live DJ; Free food; and prize drawings for Smart TV's; Echo Dots; &amp;… https://t.co/smPrKhl5h7
26,iPhone XS; XS Max; XR - Did Apple Do Enough? https://t.co/dj1pCLo83d #iphone #iphone_xs https://t.co/BDqd0TPuVv
27,****DISPONIBLE**** Apple Iphone XS MAX 64gb y XS gold color Black  #smartphone #powerbank #bogota #iphone #iphonex… https://t.co/xnyNyCI9rg
28,@JonyIveParody I’m not against android or iPhone; I have Xs max 512gb; but the funny thing is when google announce… https://t.co/SLQYgu1xzo
29,Very peak
30,@DisplayMate Wait does this mean the Pixel 3 XL has better display than the Note 9 &amp; iPhone XS Max? lolwut? ur kiddin right?
31,@9to5mac @benlovejoy The iPhone XS skin smoothing feature works wonders on adult film footage
32,iPhone XS Max’s Phenomenal Sound Blows Away the Competition https://t.co/fVYdd3ex3K
33,@MetroByTMobile will you guys have the iPhone Xs Max?
