id,dt_tm,lang,retweet,name,body,lat,lon
1049733347029725185,Tue Oct 09 18:48:27 +0000 2018,en,1,MiArmeatchel_,RT @Apple: Welcome to the big screens. The new iPhone XS and iPhone XS Max are here.,,
1049733354583670786,Tue Oct 09 18:48:29 +0000 2018,en,1,sohaip__,RT @GiveawayXtreme: 🔱 IPhone XS Space Gold Giveaway 🔱  🔥RT 🔥Follow @custxr! 🔥Turn @custxr’s Post Notifications ON! ( show proof ) 🔥Stay Act…,,
1049733356882137091,Tue Oct 09 18:48:30 +0000 2018,en,1,VaulthunterGR,RT @VastAgency: We figured we would give one of these away; want to win? Follow the instructions below; go!  🎉 iPhone Xs Max 👋 Tag Your Fri…,,
1049733387227934720,Tue Oct 09 18:48:37 +0000 2018,en,1,ArchieBlesssed,RT @stacksDAMU: rich me: no broke me: no https://t.co/5tkYX3xCgY,,
1049733400691642368,Tue Oct 09 18:48:40 +0000 2018,en,1,MrGadgetFreak,RT @CameraMiOS: Camera-M 2.0 Update - Optimized for iOS 12 - Optimized for iPhone XS and XS MAX - Updated UI - Portrait Effects Matte for D…,,
1049733405351366656,Tue Oct 09 18:48:41 +0000 2018,en,1,triperchinoy,RT @GiveawayXtreme: 🔱 IPhone XS Space Gold Giveaway 🔱  🔥RT 🔥Follow @custxr! 🔥Turn @custxr’s Post Notifications ON! ( show proof ) 🔥Stay Act…,,
1049733439690330114,Tue Oct 09 18:48:49 +0000 2018,en,0,Siyeeeeel,Iphone XS 😩,,
1049733443217588225,Tue Oct 09 18:48:50 +0000 2018,en,1,crezxan,RT @chris3sparza: I dedass found a brand new  gold iPhone Xs in the parking lot of the mall retweet for good luck🤣 https://t.co/m6nBsTs7rW,,
1049733454479466496,Tue Oct 09 18:48:53 +0000 2018,en,1,Melissabriii,RT @chris3sparza: I dedass found a brand new  gold iPhone Xs in the parking lot of the mall retweet for good luck🤣 https://t.co/m6nBsTs7rW,,
1049733455746125829,Tue Oct 09 18:48:53 +0000 2018,en,0,sgondazim,SMART GADGETS ELECTRONICS PVT LTD  #USDCASH SALE SALE SALE HURRY WHILE STOCK LAST FREE DELIVERY HURRY HURRY 📱077453… https://t.co/mDYnNkEm5z,,
