Corrected_Mean,FORECAST,STD,L95,U95,RESIDUAL,,,,,
0.992,,,,,,,,Date,Actual Height,Forecasted Height
0.992,0.993011837,0.00602437,0.981204289,1.004819384,-0.001011837,,,6/6/2018,1.7795,1.776839105
0.992,0.992315787,0.00602437,0.980508239,1.004123334,-0.000315787,,,6/6/2018,1.772,1.77197837
0.992,0.992098229,0.00602437,0.980290682,1.003905777,-0.000098229,,,6/6/2018,1.7695,1.768174784
0.982,0.992173701,0.00602437,0.980366153,1.003981248,-0.010173701,,,6/6/2018,1.762,1.765011844
0.982,0.975374791,0.00602437,0.963567244,0.987182339,0.006625209,,,6/6/2018,1.7595,1.762354323
0.982,0.98006853,0.00602437,0.968260982,0.991876077,0.00193147,,,6/6/2018,1.752,1.760065818
0.982,0.98294427,0.00602437,0.971136722,0.994751817,-0.00094427,,,6/6/2018,1.747,1.75808201
0.982,0.982661572,0.00602437,0.970854024,0.994469119,-0.000661572,,,6/6/2018,1.742,1.756446519
0.972,0.982058436,0.00602437,0.970250888,0.993865983,-0.010058436,,,6/6/2018,1.737,1.754715357
0.972,0.965193948,0.00602437,0.953386401,0.977001496,0.006806052,,,6/6/2018,1.732,1.753366379
0.972,0.970016586,0.00602437,0.958209038,0.981824133,0.001983414,,,6/6/2018,1.727,1.752015301
0.972,0.972649408,0.00602437,0.960841861,0.984456956,-0.000649408,,,6/6/2018,1.722,1.75107509
0.972,0.972495822,0.00602437,0.960688275,0.98430337,-0.000495822,,,6/6/2018,1.717,1.750187352
0.972,0.971903669,0.00602437,0.960096122,0.983711217,9.63307E-05,,,6/6/2018,1.712,1.749524524
0.962,0.971733056,0.00602437,0.959925508,0.983540603,-0.009733056,,,6/6/2018,1.707,1.748995327
0.962,0.955449337,0.00602437,0.94364179,0.967256884,0.006550663,,,6/6/2018,1.702,1.74856309
0.962,0.95990722,0.00602437,0.948099672,0.971714767,0.002092781,,,6/6/2018,1.6995,1.748230107
0.962,0.963096084,0.00602437,0.951288537,0.974903632,-0.001096084,,,6/6/2018,1.692,1.74801413
0.962,0.962247882,0.00602437,0.950440335,0.97405543,-0.000247882,,,6/6/2018,1.6895,1.747928118
0.962,0.961351263,0.00602437,0.949543716,0.973158811,0.000648737,,,6/6/2018,1.682,1.747969639
0.952,0.962050441,0.00602437,0.950242894,0.973857989,-0.010050441,,,6/6/2018,1.6795,1.748120617
0.952,0.945540281,0.00602437,0.933732733,0.957347828,0.006459719,,,6/6/2018,1.672,1.748354035
0.952,0.950271702,0.00602437,0.938464155,0.962079249,0.001728298,,,6/6/2018,1.6695,1.748642668
0.952,0.952702015,0.00602437,0.940894468,0.964509563,-0.000702015,,,6/6/2018,1.662,1.748965762
0.952,0.952219621,0.00602437,0.940412073,0.964027168,-0.000219621,,,6/7/2018,1.662,1.749311695
0.942,0.951622333,0.00602437,0.939814786,0.963429881,-0.009622333,,,6/7/2018,1.6545,1.749676806
0.942,0.935361895,0.00602437,0.923554348,0.947169443,0.006638105,,,6/7/2018,1.652,1.75006199
0.942,0.940248862,0.00602437,0.928441314,0.952056409,0.001751138,,,6/7/2018,1.647,1.750469013
0.932,0.943089712,0.00602437,0.931282165,0.95489726,-0.011089712,,,6/7/2018,1.642,1.750897971
0.932,0.925542706,0.00602437,0.913735158,0.937350253,0.006457294,,,6/7/2018,1.637,1.75134644
0.932,0.929478724,0.00602437,0.917671177,0.941286272,0.002521276,,,6/7/2018,1.632,1.751810068
0.922,0.932355471,0.00602437,0.920547923,0.944163018,-0.010355471,,,6/7/2018,1.632,1.752283876
0.922,0.915945536,0.00602437,0.904137988,0.927753083,0.006054464,,,6/7/2018,1.622,1.752763534
0.922,0.919881443,0.00602437,0.908073895,0.93168899,0.002118557,,,6/7/2018,1.622,1.753246102
0.912,0.923103882,0.00602437,0.911296335,0.934911429,-0.011103882,,,6/7/2018,1.6145,1.753730115
0.912,0.905546459,0.00602437,0.893738911,0.917354006,0.006453541,,,6/7/2018,1.612,1.754215172
0.912,0.909074734,0.00602437,0.897267187,0.920882282,0.002925266,,,6/7/2018,1.6045,1.754701332
0.912,0.912680987,0.00602437,0.900873439,0.924488534,-0.000680987,,,6/7/2018,1.602,1.755188589
0.902,0.912647591,0.00602437,0.900840044,0.924455139,-0.010647591,,,6/7/2018,1.5995,1.7556766
0.902,0.895042852,0.00602437,0.883235305,0.9068504,0.006957148,,,6/7/2018,1.5945,1.756164671
0.902,0.899800108,0.00602437,0.887992561,0.911607656,0.002199892,,,6/7/2018,1.612,1.756651919
0.902,0.90267867,0.00602437,0.890871123,0.914486218,-0.00067867,,,6/7/2018,1.7145,1.757137488
