,timeset,Corrected_Mean
75889,6/1/2016 0:00,0.992
75890,6/1/2016 1:00,0.992
75891,6/1/2016 2:00,0.992
75892,6/1/2016 3:00,0.992
75893,6/1/2016 4:00,0.982
75894,6/1/2016 5:00,0.982
75895,6/1/2016 6:00,0.982
75896,6/1/2016 7:00,0.982
75897,6/1/2016 8:00,0.982
75898,6/1/2016 9:00,0.972
75899,6/1/2016 10:00,0.972
75900,6/1/2016 11:00,0.972
75901,6/1/2016 12:00,0.972
75902,6/1/2016 13:00,0.972
75903,6/1/2016 14:00,0.972
75904,6/1/2016 15:00,0.962
75905,6/1/2016 16:00,0.962
75906,6/1/2016 17:00,0.962
75907,6/1/2016 18:00,0.962
75908,6/1/2016 19:00,0.962
75909,6/1/2016 20:00,0.962
75910,6/1/2016 21:00,0.952
75911,6/1/2016 22:00,0.952
75912,6/1/2016 23:00,0.952
75913,6/2/2016 0:00,0.952
75914,6/2/2016 1:00,0.952
75915,6/2/2016 2:00,0.942
75916,6/2/2016 3:00,0.942
75917,6/2/2016 4:00,0.942
75918,6/2/2016 5:00,0.932
75919,6/2/2016 6:00,0.932
75920,6/2/2016 7:00,0.932
75921,6/2/2016 8:00,0.922
75922,6/2/2016 9:00,0.922
75923,6/2/2016 10:00,0.922
75924,6/2/2016 11:00,0.912
75925,6/2/2016 12:00,0.912
75926,6/2/2016 13:00,0.912
75927,6/2/2016 14:00,0.912
75928,6/2/2016 15:00,0.902
75929,6/2/2016 16:00,0.902
75930,6/2/2016 17:00,0.902
75931,6/2/2016 18:00,0.902
75932,6/2/2016 19:00,0.892
75933,6/2/2016 20:00,0.892
75934,6/2/2016 21:00,0.892
75935,6/2/2016 22:00,0.892
75936,6/2/2016 23:00,0.892
75937,6/3/2016 0:00,0.882
75938,6/3/2016 1:00,0.882
75939,6/3/2016 2:00,0.872
75940,6/3/2016 3:00,0.872
75941,6/3/2016 4:00,0.872
75942,6/3/2016 5:00,0.862
75943,6/3/2016 6:00,0.862
75944,6/3/2016 7:00,0.862
75945,6/3/2016 8:00,0.862
75946,6/3/2016 9:00,0.852
75947,6/3/2016 10:00,0.852
75948,6/3/2016 11:00,0.852
75949,6/3/2016 12:00,0.842
75950,6/3/2016 13:00,0.842
75951,6/3/2016 14:00,0.842
75952,6/3/2016 15:00,0.842
75953,6/3/2016 16:00,0.832
75954,6/3/2016 17:00,0.832
75955,6/3/2016 18:00,0.832
75956,6/3/2016 19:00,0.832
75957,6/3/2016 20:00,0.822
75958,6/3/2016 21:00,0.822
75959,6/3/2016 22:00,0.822
75960,6/3/2016 23:00,0.822
75961,6/4/2016 0:00,0.812
75962,6/4/2016 1:00,0.812
75963,6/4/2016 2:00,0.812
75964,6/4/2016 3:00,0.812
75965,6/4/2016 4:00,0.812
75966,6/4/2016 5:00,0.812
75967,6/4/2016 6:00,0.802
75968,6/4/2016 7:00,0.802
75969,6/4/2016 8:00,0.802
75970,6/4/2016 9:00,0.802
75971,6/4/2016 10:00,0.802
75972,6/4/2016 11:00,0.792
75973,6/4/2016 12:00,0.792
75974,6/4/2016 13:00,0.792
75975,6/4/2016 14:00,0.792
75976,6/4/2016 15:00,0.792
75977,6/4/2016 16:00,0.782
75978,6/4/2016 17:00,0.782
75979,6/4/2016 18:00,0.782
75980,6/4/2016 19:00,0.782
75981,6/4/2016 20:00,0.782
75982,6/4/2016 21:00,0.782
75983,6/4/2016 22:00,0.772
75984,6/4/2016 23:00,0.772
75985,6/5/2016 0:00,0.772
75986,6/5/2016 1:00,0.772
75987,6/5/2016 2:00,0.772
75988,6/5/2016 3:00,0.772
75989,6/5/2016 4:00,0.762
75990,6/5/2016 5:00,0.762
75991,6/5/2016 6:00,0.762
75992,6/5/2016 7:00,0.762
75993,6/5/2016 8:00,0.762
75994,6/5/2016 9:00,0.762
75995,6/5/2016 10:00,0.752
75996,6/5/2016 11:00,0.752
75997,6/5/2016 12:00,0.752
75998,6/5/2016 13:00,0.752
75999,6/5/2016 14:00,0.752
76000,6/5/2016 15:00,0.752
76001,6/5/2016 16:00,0.752
76002,6/5/2016 17:00,0.742
76003,6/5/2016 18:00,0.742
76004,6/5/2016 19:00,0.742
76005,6/5/2016 20:00,0.742
76006,6/5/2016 21:00,0.742
